Title,Text,"Feeling-nervous,-anxious,-or-on-edge ",Not-being-able-to-stop-or-control-worrying,Worrying-too-much-about-different-things,Trouble-relaxing,Being-so-restless-that-it-is-hard-to-sit-still,Becoming-easily-annoyed-or-irritable,"Feeling-afraid,-as-if-something-awful-might-happen-soon"
My dad just threatened me for crying and going to my room and i would really need some kind words," My brother has a past with drugs, he always mistreat everyone and my father says we should stay calm 'cause we could make him go violent.

Today my dad told me that everything i do is because i want to bother them (liking piercings and wanting to initiate in hellenism). And now that i went crying in rage and sadness to my room without breaking anything (as my brother does) my dad came to tell me that if i keep this up he's gonna get violent.

Everyone ignored me in r/FreeCompliments so i'm posting this here wishing someone give two flying fucks about me",Yes,No,No,No,No,Yes,No
Teenager with no hope.,"I'm a senior in high school right now, and as far as I can tell, I have a bleak future, and an even bleaker present. I'm too lazy to get grades better than C's, and my social life is worse than an 80 year old retiree with a dead spouse and estranged children. I feel as if my default state is depressed, with small bouts of happiness, then back into the trenches for me. I keep thinking I've found happiness in the love of someone else, only for it to be stomped out and kicked until I taste the blood. I can make people laugh and they seem as if they like me, but when the school day ends and everyone goes home, no one calls, no one texts, and I doubt anyone thinks of me. It's gotten so bad, I don't even like to listen to music anymore, something I used to look forward to a little while ago, now it just seems like unnecessary noise. Every time someone asks what college I'm going to and I reply with \[X\] Community College, I see the disappointment in their eyes. It seems as if everyone else has these nice lives, and the perfect SO. Don't get me wrong, I've had girlfriends, but they never lasted long and ultimately didn't mean much to either person. I know they say having an SO just causes more strife and pain, but I just want to see what a proper relationship is like and experience the life everyone else talks about. I know this story has been told before by countless people before me, and will be told by countless people after me. I just want to escape all of this. I'm not suicidal yet, but I fear what comes next. Wow, I sound like a pretentious asshole reading this back. I just want to know if anyone else has experienced this, and what you did. Or at-least, something I could do to help myself. I will now check my phone every ten seconds hoping for a reply. What a life.",No,Yes,Yes,No,No,No,No
I'm really depressed and I want to get help but I don't know what to do,"I have always known I was a little depressed, but once the pandemic hit all of the things I did to keep myself “normal” disappeared and I spiraled out of control. I got dismissed from my school a few months ago because I failed all of my classes for both 2020 semesters and most days don’t get out of bed. I have done absolutely nothing productive since getting dismissed because every time I try I get really emotional about the dismissal. I am really scared to go to the dentist because I know I haven’t been taking care of my teeth. It is a minor miracle if I shower more than once a week. I feel like life is just passing me by, every day I wake up and then blink and I’ve spent the past 12 hours in bed and I didn’t accomplish anything.   


All of my friends are extremely accomplished people with jobs or internships lined up and I have literally nothing because I can’t get myself to DO anything. I’m too ashamed to reach out to them about it, I also just feel like they wouldn’t understand or have any helpful advice. I know comparison is the thief of joy but I cannot help it. I don’t want to get into the details but I am also trying to process some traumatic things that happened to me in the past few years and some days I have are just dark. I am not suicidal but I do have some intrusive thoughts about suicide occasionally which are starting to become more frequent.

  
I am turning 25 soon and I want to get help before I get kicked off of my parent’s insurance. But I don’t know anything about what to do. Do I get a therapist? Psychiatrist? Or something else? How do I find one and how do I pick the right one? I had a bad experience with a therapist when I was younger which has put me off of this until now :/ Are there other steps I should be taking? I don’t even know what to do, I just know I can’t live like this anymore. Asking my parents for help directly about this is also not an option for me, at least not yet, which is also why I'm posting here. Thanks for reading.",Yes,Yes,Yes,No,No,No,Yes
"What helped you see some hope for your future, and how can I help my friend see even just a glimmer of hope?","A dear friend of mine was diagnosed with dysthymia and I’ve been doing my best to support and talk when he wants to. 

One of the biggest things right now is that he sees no hope for life to be normal again, and no hope for being able to get a normal job after he graduates because of Covid requirements at jobs. How can I encourage him?

(Please don’t suggest anything about talking about “a new normal” because we’ve been down that road a few times and it never ends well. He is very hesitant about change.)",Yes,Yes,No ,No,No,No,No
Placing too much on outside help?,"Hello,

I (20m) am a Junior in college. I have dealt with social anxiety, self esteem issues, and most recently depression for nearly half my life. It was a result of reactionary behavior (I caused my own problems) and I have never been able to shake it, as I tell myself I am incapable of change. (Cause yourself problems once, you will sure as hell cause them again) 

I have been spiraling (more or less) over the last few years, and only now am I sane enough to look at my lifelong issues. Unfortunately, I recently moved to a new city where I know no one. 

The loneliness has recently gotten to my head, and that combined with the stressfulness of college has me incredibly overwhelmed. Suicide has been on my mind more and more lately until I told myself today I would do it. But here I am. 

I have an appointment with a therapy clinic lined up on 5/9 (May 9th - USA), but I do feel guilty to an extent. All that goes through my head upon dealing with my problems is “tell the therapist and they will assist you in making sense of it”. 

This has me feel irresponsible and ridiculous. There has been many people in life who can’t afford help and have gotten along just fine. It’s your life, and at the end of the day it’s on you to fix it. Yet at the same time I am so lost. All that goes through my head is my inner critic, saying it’s pointless. 

Sorry to ramble. My point being, those who have had success beating their issues on their own, what techniques/routines/activities did you use / partake in?  What helped change your perspectives? 

Any feedback is appreciated thanks for reading if for some reason you got this far",Yes,Yes,Yes,No,No,No,No
My grandma just passed away how do I deal with the loss,So back story I was basically raised by my grandma I was always at her house I was always with her I was always close she was in the hospital/nursing home for 3 months Sunday night/Monday morning she was rushed over to the er cause her BP was low af then that night me and my mom and my grandmas sister went to go vist her but I didnt think it was that bad so I took my grandma puppy home cause he had to go to the bathroom and she knew then she was gonna pass so that night she was transferred to a different hospital and they was talking to her then she just feel asleep and never woke up we decided to take her off life support cause that's what she wanted how do I deal with this I never got to say goodbye while she was alive I got to see her while she was unconscious and I told her I love her but I just feel like I failed her,No,No,No,No,No,No,No
It's so painful,My best friend stopped talking to me 2 days back. It's been so lonely. I am having lucid dreams of him coming back. I am talking to an imaginary version of him in my head. Coz no one else understood me but him. Today my parents decided to stop talking or spending time with me.We have a duplex. I am supposed to stay in the upper flat. They do give me food water and everything. But it's so painful. I am dying inside. My whole body is aching and I am feeling sick. I can't sleep well. I wish everything would just stop.,Yes,No,No,Yes,Yes,No,No
I need help,"My english is bad sorry
Ok so I have bad migraines every 2 days and I googled it and it says that depression, neck pain and migraines are connected. I go to therapy but I dont take antidepressants. My suicidal thoughts are awful lately and when this stupid corona thing goes away should I talk to my therapist and talk to her about it? How should I tell her that I need antidepressants? I really need them because I read that they can help with depression and migraines at the same time.",Yes,No,No,Yes,Yes,No,No
Feeling so down and beating myself up for mistakes,"I don’t feel like talking about whatever is going on in my post since it might be too long. So to simplify it: I made a mistake asking someone from a laptop repair shop to back up files onto a hard drive. I didn’t think too much about what I did so of course I wasn’t surprised when my parents were mad at me. I tried to fix the situation by calling and texting to let them know of the situation. Then my mom just starts calling me out and calling me names cause I kept making mistakes. I get that I don’t think through things sometimes and it gets to me, but my mom really tried to drag me through the dirt cause she thinks so highly of her golden child compared to me. It got to me and I fought back verbally. I was so mad at her at that moment and couldn’t believe the things that she said.

I’m now sure that whatever my mom said is going to and will affect me. I just barely have the motivation to do anything at the moment.

As you can tell, I’m probably not doing so well and would be down to talk or chat with someone.",Yes,Yes,No,Yes,No,Yes,No
How do I make a female partner who's depressed feel better?,"(**repost because i forgot to use my alt)**

Hey guys. So I'm hanging out with my girlfriend on Friday, who is depressed and may have some sort of bpd issues (as pointed out by multiple redditors). They have been irritable and angry for a long time, and there's a lot on her mind, so I'm giving them the week without talking to her to recollect her. I was hoping to get everyone's advice on how I should talk to her.

&amp;#x200B;

I want to make clear that they does not think she's depressed, but all symptoms are there. irritability, feeling of emptiness, mood swings, sadness, (sometimes) excessive substance intake. they even admitted they were depressed a while ago and had thoughts of killing or harming herself.

&amp;#x200B;

I am worried about her and if she won't accept and get help herself, I'm trying to see how I can make things better. The stuff I have planned out on Friday are:

1. I surprise her by letting her choose what I get her for valentine's day
2. We cuddle and watch a movie or something
3. She goes out with some friends who are moving away
4. when she's back, we hang out again and maybe watch our favorite tv show.
5. play some kind of video game or just talk

Are any of you able to tell me what else I can do to make my partner feel happier? Like whether it's daily or what I can just do on Friday. I want her to come out of her rut and be happy like she was once before. I'm really trying to make it fun but not suffocate her. We've been fighting a lot lately and it got pretty bad so I'm willing to do whatever.

&amp;#x200B;

Thanks

&amp;#x200B;",Yes,Yes,Yes,Yes,No,Yes,No
